locus_tag	ftype	length_bp	gene	EC_number	COG	product
LMIBBFGC_00001	CDS	357				hypothetical protein
LMIBBFGC_00002	CDS	1329				hypothetical protein
LMIBBFGC_00003	CDS	1068				hypothetical protein
LMIBBFGC_00004	CDS	1125	dnaN		COG0592	Beta sliding clamp
LMIBBFGC_00005	CDS	1242	gyrB_1	5.6.2.2		DNA gyrase subunit B
LMIBBFGC_00006	CDS	1062	gyrB_2	5.6.2.2	COG0187	Type 2 topoisomerase subunit B
LMIBBFGC_00007	CDS	249				hypothetical protein
LMIBBFGC_00008	CDS	741				hypothetical protein
LMIBBFGC_00009	CDS	321				hypothetical protein
LMIBBFGC_00010	CDS	363				hypothetical protein
LMIBBFGC_00011	CDS	1209				hypothetical protein
LMIBBFGC_00012	CDS	639				hypothetical protein
LMIBBFGC_00013	CDS	1308	pgbA			Plasminogen-binding protein PgbA
LMIBBFGC_00014	CDS	255				hypothetical protein
LMIBBFGC_00015	CDS	1101		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
LMIBBFGC_00016	CDS	765	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
LMIBBFGC_00017	CDS	117				hypothetical protein
LMIBBFGC_00018	CDS	1446	glnA	6.3.1.2	COG0174	Glutamine synthetase
LMIBBFGC_00019	CDS	1980				hypothetical protein
LMIBBFGC_00020	CDS	450	rplI		COG0359	50S ribosomal protein L9
LMIBBFGC_00021	CDS	543	hslV	3.4.25.2	COG5405	ATP-dependent protease subunit HslV
LMIBBFGC_00022	CDS	1332	clpY		COG1220	ATP-dependent protease ATPase subunit ClpY
LMIBBFGC_00023	CDS	729	era_1		COG1159	GTPase Era
LMIBBFGC_00024	CDS	180	era_2			GTPase Era
LMIBBFGC_00025	CDS	993				hypothetical protein
LMIBBFGC_00026	CDS	351				hypothetical protein
LMIBBFGC_00027	CDS	354				hypothetical protein
LMIBBFGC_00028	CDS	348				hypothetical protein
LMIBBFGC_00029	CDS	1446				hypothetical protein
LMIBBFGC_00030	CDS	510				hypothetical protein
LMIBBFGC_00031	CDS	1068				hypothetical protein
LMIBBFGC_00032	CDS	1047				hypothetical protein
LMIBBFGC_00033	CDS	993				Type IV secretion system protein VirB11
LMIBBFGC_00034	CDS	600				hypothetical protein
LMIBBFGC_00035	CDS	2559				hypothetical protein
LMIBBFGC_00036	CDS	243				hypothetical protein
LMIBBFGC_00037	CDS	258				hypothetical protein
LMIBBFGC_00038	CDS	2061				hypothetical protein
LMIBBFGC_00039	CDS	1011				hypothetical protein
LMIBBFGC_00040	CDS	528				hypothetical protein
LMIBBFGC_00041	CDS	1608				hypothetical protein
LMIBBFGC_00042	CDS	759				hypothetical protein
LMIBBFGC_00043	CDS	648				hypothetical protein
LMIBBFGC_00044	CDS	843	cagT			CAG pathogenicity island protein 12
LMIBBFGC_00045	CDS	588	cagS			CAG pathogenicity island protein 13
LMIBBFGC_00046	CDS	306				hypothetical protein
LMIBBFGC_00047	CDS	156				hypothetical protein
LMIBBFGC_00048	CDS	1131				hypothetical protein
LMIBBFGC_00049	CDS	921				hypothetical protein
LMIBBFGC_00050	CDS	714				hypothetical protein
LMIBBFGC_00051	CDS	1146				hypothetical protein
LMIBBFGC_00052	CDS	1113				hypothetical protein
LMIBBFGC_00053	CDS	420				hypothetical protein
LMIBBFGC_00054	CDS	807				hypothetical protein
LMIBBFGC_00055	CDS	2946	virB4_1			Type IV secretion system protein virB4
LMIBBFGC_00056	CDS	624				hypothetical protein
LMIBBFGC_00057	CDS	348				hypothetical protein
LMIBBFGC_00058	CDS	3546	cagA			Cytotoxicity-associated immunodominant antigen
LMIBBFGC_00059	CDS	300				hypothetical protein
LMIBBFGC_00060	CDS	768	murI	5.1.1.3	COG0796	Glutamate racemase
LMIBBFGC_00061	CDS	1317	rho	3.6.4.-	COG1158	Transcription termination factor Rho
LMIBBFGC_00062	CDS	204	rpmE		COG0254	50S ribosomal protein L31
LMIBBFGC_00063	CDS	852	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
LMIBBFGC_00064	CDS	471		2.1.1.-		Putative TrmH family tRNA/rRNA methyltransferase
LMIBBFGC_00065	CDS	966				hypothetical protein
LMIBBFGC_00066	CDS	822				hypothetical protein
LMIBBFGC_00067	CDS	939	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
LMIBBFGC_00068	CDS	1239	fabF	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
LMIBBFGC_00069	CDS	108				hypothetical protein
LMIBBFGC_00070	CDS	237	acpP			Acyl carrier protein
LMIBBFGC_00071	CDS	744	fabG	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
LMIBBFGC_00072	CDS	213	rpsU		COG0828	30S ribosomal protein S21
LMIBBFGC_00073	CDS	1251				hypothetical protein
LMIBBFGC_00074	CDS	246				hypothetical protein
LMIBBFGC_00075	CDS	648	rclC		COG3059	Inner membrane protein RclC
LMIBBFGC_00076	CDS	822	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
LMIBBFGC_00077	CDS	1047				hypothetical protein
LMIBBFGC_00078	CDS	219				hypothetical protein
LMIBBFGC_00079	CDS	684				hypothetical protein
LMIBBFGC_00080	CDS	1101	ychF		COG0012	Ribosome-binding ATPase YchF
LMIBBFGC_00081	CDS	1491	pepA	3.4.11.1	COG0260	Cytosol aminopeptidase
LMIBBFGC_00082	CDS	579	yohD		COG0586	Inner membrane protein YohD
LMIBBFGC_00083	CDS	540	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
LMIBBFGC_00084	CDS	333				hypothetical protein
LMIBBFGC_00085	CDS	456	ywlF	5.3.1.-	COG0698	Putative sugar phosphate isomerase YwlF
LMIBBFGC_00086	CDS	618				hypothetical protein
LMIBBFGC_00087	CDS	873				hypothetical protein
