locus_tag	ftype	length_bp	gene	EC_number	COG	product
PPDIGIDD_00001	CDS	357				hypothetical protein
PPDIGIDD_00002	CDS	1329				hypothetical protein
PPDIGIDD_00003	CDS	1068				hypothetical protein
PPDIGIDD_00004	CDS	1125	dnaN		COG0592	Beta sliding clamp
PPDIGIDD_00005	CDS	1242	gyrB_1	5.6.2.2		DNA gyrase subunit B
PPDIGIDD_00006	CDS	1062	gyrB_2	5.6.2.2	COG0187	Type 2 topoisomerase subunit B
PPDIGIDD_00007	CDS	249				hypothetical protein
PPDIGIDD_00008	CDS	741				hypothetical protein
PPDIGIDD_00009	CDS	321				hypothetical protein
PPDIGIDD_00010	CDS	363				hypothetical protein
PPDIGIDD_00011	CDS	1209				hypothetical protein
PPDIGIDD_00012	CDS	639				hypothetical protein
PPDIGIDD_00013	CDS	1308	pgbA			Plasminogen-binding protein PgbA
PPDIGIDD_00014	CDS	1377		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
PPDIGIDD_00015	CDS	765	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
PPDIGIDD_00016	CDS	117				hypothetical protein
PPDIGIDD_00017	CDS	1446	glnA	6.3.1.2	COG0174	Glutamine synthetase
PPDIGIDD_00018	CDS	1980				hypothetical protein
PPDIGIDD_00019	CDS	450	rplI		COG0359	50S ribosomal protein L9
PPDIGIDD_00020	CDS	543	hslV	3.4.25.2	COG5405	ATP-dependent protease subunit HslV
PPDIGIDD_00021	CDS	1332	clpY		COG1220	ATP-dependent protease ATPase subunit ClpY
PPDIGIDD_00022	CDS	729	era_1		COG1159	GTPase Era
PPDIGIDD_00023	CDS	180	era_2			GTPase Era
PPDIGIDD_00024	CDS	993				hypothetical protein
PPDIGIDD_00025	CDS	351				hypothetical protein
PPDIGIDD_00026	CDS	354				hypothetical protein
PPDIGIDD_00027	CDS	348				hypothetical protein
PPDIGIDD_00028	CDS	1446				hypothetical protein
PPDIGIDD_00029	CDS	510				hypothetical protein
PPDIGIDD_00030	CDS	1068				hypothetical protein
PPDIGIDD_00031	CDS	1152				hypothetical protein
PPDIGIDD_00032	CDS	993				Type IV secretion system protein VirB11
PPDIGIDD_00033	CDS	600				hypothetical protein
PPDIGIDD_00034	CDS	2325				hypothetical protein
PPDIGIDD_00035	CDS	231				hypothetical protein
PPDIGIDD_00036	CDS	2769				hypothetical protein
PPDIGIDD_00037	CDS	1011				hypothetical protein
PPDIGIDD_00038	CDS	528				hypothetical protein
PPDIGIDD_00039	CDS	1608				hypothetical protein
PPDIGIDD_00040	CDS	759				hypothetical protein
PPDIGIDD_00041	CDS	648				hypothetical protein
PPDIGIDD_00042	CDS	843	cagT			CAG pathogenicity island protein 12
PPDIGIDD_00043	CDS	588	cagS			CAG pathogenicity island protein 13
